"MLS Number ","Close Price","Baths Full","Baths Half","Beds Total","Lot Size SqFt","Pool","Yr Built","Zip Code","Listing Contract Date","SqFt Total","DOM","Number Of Stories","Lot Size","Selling Agent Full Name","List Agent Full Name","1st Financing","Selling Office Name","List Office Name","Street Name","Street Number","Street Type"
"13146792","2000","3","0","4","10018.8","False","1974","75075","2015-05-07","2975","5","1","Less Than .5 Acre (not Zero)","Joshua Joseph D'penhad'souza","Ashley E. Williams","","Keller Williams Realty Plano","Keller Williams Realty DPR","Robin","3120","Road"
"13148488","2000","2","0","3","7405.2","False","1992","75025","2015-05-10","2404","11","1","","Christi A. Stevens Abr","Sheri A. Stinson Abr Crs Gri","","Coldwell Banker Res. Frisco","RE/MAX North Central","Smokey","8805","Drive"
"13158317","2000","2","0","4","6098.4","False","1995","75093","2015-05-26","2112","2","1","Less Than .5 Acre (not Zero)","Alex Bortniker","Alex Bortniker","","SWL Realty LLC","SWL Realty LLC","Desert Mountain","4025","Drive"
"13178685","2000","2","1","4","6098.4","False","1999","75025","2015-06-24","2442","24","2","","David B. Millheiser","Gerald Vokolek","","Dave Perry Miller Real Estate","Gerald Vokolek","Brycewood","2412","Lane"
"13180300","2000","2","1","4","10890","False","1978","75075","2015-06-26","2122","20","2","","Jackson Su","Jackson Su","","WILLIAM DAVIS REALTY","WILLIAM DAVIS REALTY","Trenton","2606","Court"
"13183397","2000","2","1","4","","False","1999","75025","2015-07-02","2830","19","2","Less Than .5 Acre (not Zero)","Elaine Chou","Elaine Chou","","DFW iRealty LLC","DFW iRealty LLC","Ravenhurst","2312","Drive"
"13190741","2000","2","1","4","7840.8","False","1994","75075","2015-07-08","2399","6","2","","James Edward Farias","Bill Yu","","Dave Perry Miller Real Estate","Apollo Realty","Monticello","2108","Circle"
"13202911","2000","2","1","4","10018.8","True","1983","75093","2015-07-24","2199","5","1","","Angel Jara","Richard Mirkes Jr.","","Ultra Real Estate Services","Mirkes Real Estate","Emerson","4408","Drive"
"13209345","2000","2","1","4","18730.8","True","1970","75075","2015-08-03","2386","3","1","Less Than .5 Acre (not Zero)","Tomer Lankri","Sagi Nidam","","O Realty","Sagi Nidam","Valley Creek","1001","Drive"
"13213048","2000","2","0","4","10018.8","False","1968","75075","2015-08-18","2012","10","1","","Will S. Butler","Will S. Butler","","Butler Property Company","Butler Property Company","Northcrest","2117","Drive"
"13214675","2000","2","0","4","7405.2","False","1999","75025","2015-08-07","2464","8","1","Less Than .5 Acre (not Zero)","Leslie J. Calvert","Xuezhong Zhao","","Ginny Laughlin Real Estate","Sunet Group","Salado Springs","8312","Drive"
"13216955","2000","2","1","3","8712","False","1992","75025","2015-08-12","2592","0","2","Less Than .5 Acre (not Zero)","Wendy Hulkowich","Wendy Hulkowich","","RE/MAX DFW Associates","RE/MAX DFW Associates","Mccarran","2317","Drive"
"13219762","2000","2","0","4","6969.6","False","1993","75025","2015-09-04","2161","39","1","","Harmony Estergard","Lindsey Letterer","","Ambiance Realty","Lucky Bamboo Realty LLC","Salford","3616","Drive"
"13228007","2000","2","0","4","7405.2","False","1992","75025","2015-08-31","2404","10","1","","Yuhsun Chien","Yuhsun Chien","","DFW Realties","DFW Realties","Clear Sky","8909","Drive"
"13241210","2000","2","0","4","6098.4","False","1999","75093","2015-09-18","2015","24","1","Less Than .5 Acre (not Zero)","Brenda Townsley","Lisa Bloskas","","Ebby Halliday, REALTORS Frisco","Ebby Halliday, REALTORS Frisco","Aladdin","4049","Drive"
"13069300","2050","2","1","3","3484.8","False","2007","75025","2014-12-24","2051","65","2","","Gena R. Dunn","San Srivastava","","Mike Mazyck Realty","New World Realty","Occidental","7101","Road"
"13071295","2050","3","0","4","7405.2","False","1995","75093","2015-01-02","2344","74","1","","Kristi K. Schwartz","Grace Sun","","Ebby Halliday, REALTORS-Coit","Eastar, REALTORS","Allamore","4628","Drive"
